OUTCOME,NAME,TEAM_CITY,HOME,DATE,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,MIN,OREB,PF,PTS,REB,START_POSITION,STL,TO
0,Jason Smith,Washington,1,03_28_17,0,1,3,3,1,33,6,2,33,1,1,100,17,1,1,6,4,N/A,0,1
0,Ian Mahinmi,Washington,1,03_28_17,0,0,4,0,0,0,4,3,75,8,4,50,18,1,2,10,5,N/A,2,1
0,Kelly Oubre Jr.,Washington,1,03_28_17,1,0,1,2,2,100,11,5,46,2,2,100,26,4,3,14,5,N/A,1,0
0,Brandon Jennings,Washington,1,03_28_17,3,0,1,1,0,0,2,0,0,2,2,100,12,0,1,2,1,N/A,2,1
0,Bojan Bogdanovic,Washington,1,03_28_17,1,0,1,2,0,0,8,3,38,1,0,0,16,0,2,6,1,N/A,1,2
0,Trey Burke,Washington,1,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Sheldon McClellan,Washington,1,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Tomas Satoransky,Washington,1,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Corey Brewer,Los Angeles,0,03_28_17,0,1,2,0,0,0,4,3,75,4,3,75,15,0,1,9,2,F,0,1
0,Julius Randle,Los Angeles,0,03_28_17,5,1,6,1,0,0,7,2,29,2,2,100,32,0,2,6,6,F,0,3
0,Ivica Zubac,Los Angeles,0,03_28_17,1,1,3,0,0,0,8,3,38,4,4,100,18,1,4,10,4,C,2,0
0,D'Angelo Russell,Los Angeles,0,03_28_17,9,1,5,12,4,33,21,10,48,4,4,100,40,1,1,28,6,G,0,4
0,Jordan Clarkson,Los Angeles,0,03_28_17,3,0,2,5,2,40,19,10,53,0,0,0,39,2,1,22,4,G,0,2
0,David Nwaba,Los Angeles,0,03_28_17,1,1,6,0,0,0,5,4,80,0,0,0,23,2,0,8,8,N/A,3,3
0,Larry Nance Jr.,Los Angeles,0,03_28_17,1,2,6,0,0,0,6,2,33,0,0,0,24,5,3,4,11,N/A,0,0
0,Tarik Black,Los Angeles,0,03_28_17,0,2,2,0,0,0,6,5,83,0,0,0,23,0,5,10,2,N/A,0,1
0,Tyler Ennis,Los Angeles,0,03_28_17,1,0,0,4,2,50,9,4,44,2,1,50,27,0,2,11,0,N/A,1,4
0,Timofey Mozgov,Los Angeles,0,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Thomas Robinson,Los Angeles,0,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Metta World Peace,Los Angeles,0,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Nick Young,Los Angeles,0,03_28_17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,
1,Rondae Hollis-Jefferson,Brooklyn,0,11_18_16,2,0,5,2,1,50,14,3,21,7,6,86,28,0,3,13,5,F,2,2
1,Trevor Booker,Brooklyn,0,11_18_16,1,0,4,1,0,0,5,2,40,0,0,0,22,0,1,4,4,F,1,2
1,Brook Lopez,Brooklyn,0,11_18_16,2,2,2,7,4,57,16,8,50,2,2,100,28,2,3,22,4,C,1,1
1,Bojan Bogdanovic,Brooklyn,0,11_18_16,2,0,2,1,1,100,6,4,67,6,4,67,24,1,1,13,3,G,0,2
1,Randy Foye,Brooklyn,0,11_18_16,3,0,1,1,0,0,3,1,33,0,0,0,16,0,0,2,1,G,0,4
1,Justin Hamilton,Brooklyn,0,11_18_16,0,0,2,4,2,50,6,4,67,0,0,0,21,0,5,10,2,N/A,0,0
1,Isaiah Whitehead,Brooklyn,0,11_18_16,4,0,1,2,0,0,6,2,33,0,0,0,17,0,1,4,1,N/A,1,1
1,Joe Harris,Brooklyn,0,11_18_16,2,0,1,1,1,100,3,2,67,4,2,50,20,0,0,7,1,N/A,0,0
1,Sean Kilpatrick,Brooklyn,0,11_18_16,2,0,1,3,0,0,9,3,33,5,4,80,20,1,0,10,2,N/A,1,2
1,Anthony Bennett,Brooklyn,0,11_18_16,0,0,3,4,2,50,8,4,50,2,2,100,21,0,2,12,3,N/A,0,0
1,Yogi Ferrell,Brooklyn,0,11_18_16,1,0,1,3,0,0,5,1,20,4,4,100,19,3,2,6,4,N/A,0,2
1,Chris McCullough,Brooklyn,0,11_18_16,0,0,0,0,0,0,2,1,50,0,0,0,4,0,1,2,0,N/A,0,0
1,Luis Scola,Brooklyn,0,11_18_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Andre Roberson,Oklahoma City,1,11_18_16,2,0,3,2,0,0,9,4,44,2,0,0,26,3,6,8,6,F,3,0
1,Domantas Sabonis,Oklahoma City,1,11_18_16,0,2,3,3,0,0,9,3,33,0,0,0,26,0,3,6,3,F,1,2
1,Steven Adams,Oklahoma City,1,11_18_16,0,2,4,0,0,0,6,4,67,8,7,88,32,3,1,15,7,C,0,3
1,Victor Oladipo,Oklahoma City,1,11_18_16,6,0,4,6,3,50,17,11,65,1,1,100,36,1,4,26,5,G,0,3
1,Russell Westbrook,Oklahoma City,1,11_18_16,13,0,7,1,0,0,21,13,62,5,4,80,34,3,0,30,10,G,1,3
1,Enes Kanter,Oklahoma City,1,11_18_16,0,1,3,1,1,100,4,3,75,6,6,100,13,0,2,13,3,N/A,0,3
1,Alex Abrines,Oklahoma City,1,11_18_16,0,0,2,7,2,29,10,4,40,0,0,0,22,0,1,10,2,N/A,0,1
1,Semaj Christon,Oklahoma City,1,11_18_16,1,0,2,0,0,0,1,0,0,0,0,0,11,0,1,0,2,N/A,1,0
1,Jerami Grant,Oklahoma City,1,11_18_16,0,0,3,0,0,0,1,1,100,2,1,50,12,0,1,3,3,N/A,3,0
1,Joffrey Lauvergne,Oklahoma City,1,11_18_16,1,0,4,4,1,25,9,6,67,0,0,0,14,0,3,13,4,N/A,0,0
1,Anthony Morrow,Oklahoma City,1,11_18_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0
